"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"112","ADE2","ProAla_vs_Ctrl",0.0293802191235576,0.0343550065347537,0.855194688839204,15,0.405896406327238,0.717750406988396,NA,0.0588235294117647,0.0588235294117647
"113","ADE2","ProSer_vs_Ctrl",0.0513469457835356,0.0343550065347537,1.49459863241745,15,0.155757444057312,0.275185091166774,NA,0.0571895424836601,0.0571895424836601
"114","ADE2","ArgSer_vs_Ctrl",0.0900346301963377,0.0343550065347537,2.6207135226494,15,0.0192864680736071,0.120279281077278,NA,0.0359477124183006,0.0359477124183007
"115","ADE3","ProAla_vs_Ctrl",0.00254975344232379,0.0483871419752668,0.0526948552495021,15,0.958670415731701,0.98756873756896,NA,0.124378109452736,0.124378109452736
"116","ADE3","ProSer_vs_Ctrl",0.0360081131883826,0.0483871419752668,0.744166977392223,15,0.468273875351157,0.607417377070398,NA,0.106965174129353,0.106965174129353
"117","ADE3","ArgSer_vs_Ctrl",0.068286469275364,0.0483871419752668,1.41125238002833,15,0.178574788078802,0.443011862595915,NA,0.0733830845771144,0.0733830845771144
"118","ADE4","ProAla_vs_Ctrl",-0.0139486282574808,0.0263774949397497,-0.52880792089399,15,0.604676053264882,0.83941479196485,NA,0.0814393939393939,0.0814393939393939
"119","ADE4","ProSer_vs_Ctrl",0.0212041940806766,0.0263774949397497,0.803874444070987,15,0.434024921569527,0.575326855305224,NA,0.0738636363636364,0.0738636363636364
"120","ADE4","ArgSer_vs_Ctrl",0.00638928864114519,0.0263774949397497,0.242224997322123,15,0.811886396180532,0.919826176234291,NA,0.0738636363636364,0.0738636363636364
"121","ADE57","ProAla_vs_Ctrl",-0.017042358928317,0.0278622652588957,-0.611664513633752,15,0.549918772255749,0.811271464364777,NA,0.100806451612903,0.100806451612903
"122","ADE57","ProSer_vs_Ctrl",0.121443357980799,0.0278622652588957,4.3587036751086,15,0.00056151790618264,0.00346292565063502,NA,0.0940860215053764,0.0940860215053763
"123","ADE57","ArgSer_vs_Ctrl",-0.0183648422905378,0.0278622652588957,-0.659129547432416,15,0.519803859495341,0.759409667139443,NA,0.0685483870967742,0.0685483870967742
"124","ADE6","ProAla_vs_Ctrl",-0.0666197053255596,0.0301774168728001,-2.20760132009862,15,0.0432630671846272,0.248994122826832,NA,0.0796783625730995,0.0796783625730994
"125","ADE6","ProSer_vs_Ctrl",-0.107254890718792,0.0301774168728001,-3.55414418572932,15,0.00288460284250291,0.0128590462876375,NA,0.0877192982456141,0.087719298245614
"126","ADE6","ArgSer_vs_Ctrl",-0.182871275133176,0.0301774168728001,-6.05987172142637,15,2.18383324290805e-05,0.000971313336564706,NA,0.0818713450292398,0.0818713450292398
"127","ADE8","ProAla_vs_Ctrl",0.0459169597838288,0.0783862309870507,0.585778384872392,15,0.566734434363921,0.821286877482387,NA,0.0128205128205128,0.0128205128205128
"128","ADE8","ProSer_vs_Ctrl",0.166027406475564,0.0783862309870507,2.11806849729759,15,0.0512795532922334,0.119155346815896,NA,0.0128205128205128,0.0128205128205128
"129","ADE8","ArgSer_vs_Ctrl",0.104989562788409,0.0783862309870507,1.3393878167934,15,0.200386765447427,0.47041039934854,NA,0.0128205128205128,0.0128205128205128
"130","ADF1","ProAla_vs_Ctrl",0.340254216995596,0.25319188076053,1.3438591157566,14,0.200369252990875,0.520055804680774,NA,0.0833333333333334,0
"131","ADF1","ProSer_vs_Ctrl",-0.13349315707187,0.253191880760529,-0.527241065830737,14,0.606280959775808,0.729484918200418,NA,0,0
"132","ADF1","ArgSer_vs_Ctrl",0.307610442181686,0.25319188076053,1.21493012041972,14,0.244486373118812,0.523342054247306,NA,0,0
"133","ADH1;cRAP-ADH1","ProAla_vs_Ctrl",0.0321053883510417,0.0861279982333854,0.372763665817985,15,0.714538964414239,0.894009967322531,NA,0.122222222222222,0.122222222222222
"134","ADH1;cRAP-ADH1","ProSer_vs_Ctrl",0.250131372750673,0.0861279982333854,2.90418189068878,15,0.0109018260660889,0.0361022576883323,NA,0.108333333333333,0.108333333333333
"135","ADH1;cRAP-ADH1","ArgSer_vs_Ctrl",0.215470532052009,0.0861279982333854,2.50174782267827,15,0.0244214020060061,0.140430498015048,NA,0.0916666666666667,0.0916666666666667
"136","ADH2","ProAla_vs_Ctrl",-0.0861514746136909,0.082248200804107,-1.04745725464415,15,0.311474357169558,0.642646368858723,NA,0.117647058823529,0.117647058823529
"137","ADH2","ProSer_vs_Ctrl",0.211081163413506,0.082248200804107,2.56639247241704,15,0.0214876922153415,0.0610478143071623,NA,0.102941176470588,0.102941176470588
"138","ADH2","ArgSer_vs_Ctrl",0.191933741847734,0.082248200804107,2.33359198099504,15,0.0339427807410859,0.174747947523082,NA,0.102941176470588,0.102941176470588
"139","ADH3","ProAla_vs_Ctrl",-0.0215507901512856,0.0436737742639703,-0.493449227012751,15,0.628841544361703,0.850459391134572,NA,0.0863095238095238,0.0863095238095238
"140","ADH3","ProSer_vs_Ctrl",-0.00554077805934129,0.0436737742639703,-0.126867397029898,15,0.900730389968903,0.939702687814526,NA,0.0654761904761905,0.0654761904761905
"141","ADH3","ArgSer_vs_Ctrl",0.0399167753802014,0.0436737742639703,0.913975859721646,15,0.375187509999631,0.651473245842102,NA,0.0625,0.0625
"142","ADH4","ProAla_vs_Ctrl",-0.163422041834077,0.160492403755833,-1.01825406068876,15,0.324700629600906,0.652167022656675,NA,0.166666666666667,0.166666666666667
"143","ADH4","ProSer_vs_Ctrl",0.203766996980969,0.160492403755833,1.26963639532107,15,0.223558811817063,0.359446007824436,NA,0.166666666666667,0.166666666666667
"144","ADH4","ArgSer_vs_Ctrl",0.446704221923052,0.160492403755833,2.78333560635461,15,0.0139197399839359,0.0998709611917348,NA,0.166666666666667,0.166666666666667
"145","ADH5","ProAla_vs_Ctrl",-0.319975938192433,0.0522565995233772,-6.12316800386696,15,1.94944508740136e-05,0.0013324033379978,NA,0.0611111111111111,0.0611111111111111
"146","ADH5","ProSer_vs_Ctrl",-0.742216557689185,0.0522565995233772,-14.2033076101163,15,4.18394652257348e-10,3.40414545517659e-08,NA,0.0611111111111111,0.0611111111111111
"147","ADH5","ArgSer_vs_Ctrl",-0.477828549625921,0.0522565995233772,-9.14388907782189,15,1.6005338343561e-07,2.28973340363489e-05,NA,0.05,0.05
"148","ADH6","ProAla_vs_Ctrl",0.128052710858862,0.0452676292066937,2.82879207731796,15,0.0126995350832255,0.123486613304106,NA,0.0784313725490197,0.0784313725490196
"149","ADH6","ProSer_vs_Ctrl",0.545199315370747,0.0452676292066937,12.0439113981726,15,4.11216949380844e-09,2.35540204962793e-07,NA,0.0735294117647058,0.0735294117647059
"150","ADH6","ArgSer_vs_Ctrl",0.246731552893569,0.0452676292066937,5.45050750873176,15,6.69983032330901e-05,0.00224325524513063,NA,0.0588235294117647,0.0588235294117647
"151","ADI1","ProAla_vs_Ctrl",0.239127172546686,0.118297138295498,2.0214113037068,15,0.0614548400247987,0.299252480665025,NA,0.3125,0.3125
"152","ADI1","ProSer_vs_Ctrl",0.458166528076255,0.118297138295498,3.8730144674488,15,0.00150167814709667,0.00771941086726493,NA,0.284722222222222,0.284722222222222
"153","ADI1","ArgSer_vs_Ctrl",0.191568896068953,0.118297138295498,1.61938740724588,15,0.126192753110986,0.370618633175382,NA,0.256944444444444,0.256944444444444
"154","ADK1","ProAla_vs_Ctrl",0.00264865785911185,0.0352283986964927,0.07518530382068,15,0.941060846499748,0.982687195271729,NA,0.053030303030303,0.053030303030303
"155","ADK1","ProSer_vs_Ctrl",0.0071182331250223,0.0352283986964927,0.202059514153591,15,0.84258507796442,0.902032437140222,NA,0.0429292929292929,0.0429292929292929
"156","ADK1","ArgSer_vs_Ctrl",0.0751001758247251,0.0352283986964927,2.13180781992802,15,0.0499661488339496,0.218439160020767,NA,0.0429292929292929,0.0429292929292929
"157","ADK2","ProAla_vs_Ctrl",2.13384956446002,0.265392867145095,8.04034255861674,15,8.09322589390149e-07,0.000109050438044684,NA,0.55,0.55
